id,name,neighbourhood,host_name,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
17514242,Room 305 | Maison Saint-Vincent,Ville-Marie,Maisons & Co,45.50692,-73.55295,Hotel room,193.0,1.0,16.0,2/20/23,0.2,22,240,0.0,"222574, expires: 2024-05-31"
17514332,Homa 1 | A haven of light | WiFi+Workspace,Mercier-Hochelaga-Maisonneuve,Anna,45.55547,-73.52921,Entire home/apt,87.0,2.0,180.0,3/1/24,2.14,6,259,41.0,"296161, expires: 2024-06-30"
17539794,Appart entre le Jardin botanique et le Centre-V.,Ville-Marie,Pierre,45.52865,-73.54719,Entire home/apt,65.0,31.0,12.0,12/11/23,0.16,1,270,2.0,
17567531,Majestic 2-floor Water View Loft,Ville-Marie,Sam,45.50294,-73.55508,Entire home/apt,482.0,1.0,345.0,3/17/24,4.04,8,0,52.0,"312932, expires: 2024-04-19"
17570069,2 bd on the Plateau/Parc Baldwin/large balcony,Le Plateau-Mont-Royal,Michel,45.53708,-73.56543,Entire home/apt,200.0,14.0,39.0,3/16/24,0.48,1,83,9.0,"306503, expires: 2024-08-31"
17573588,St-denis IV-2 Apt In the heart of Montreal,Le Plateau-Mont-Royal,Fred,45.52364,-73.58459,Entire home/apt,75.0,2.0,71.0,3/3/24,0.85,17,40,22.0,"308201, expires: 2024-12-31"
17601361,Spacious | The Plateau Wifi + Laundry | Parking,Le Plateau-Mont-Royal,Alain,45.51798,-73.58137,Entire home/apt,92.0,5.0,202.0,3/18/24,2.36,6,232,49.0,"296087, expires: 2024-04-30"
17618411,"Sunny, tiny and cozy studio",Ville-Marie,Eric,45.50769,-73.56964,Entire home/apt,70.0,31.0,26.0,3/9/24,0.31,10,243,3.0,
17636273,Studio in the heart of Mile End,Le Plateau-Mont-Royal,France,45.52259,-73.59283,Entire home/apt,120.0,7.0,103.0,2/19/24,1.22,3,123,8.0,"271283, expires: 2024-11-30"
17654167,Lovely little room in Villeray,Villeray-Saint-Michel-Parc-Extension,Mathieu & Nathalie,45.55247652,-73.60178034,Private room,95.0,2.0,37.0,11/18/23,0.45,1,23,9.0,"307032, expires: 2024-09-30T19:07:48Z"
17662560,Impeccable Parc Avenue Pad,Le Plateau-Mont-Royal,Erol & Jay,45.50812,-73.57171,Entire home/apt,95.0,1.0,193.0,3/13/24,2.25,24,72,44.0,"294117, expires: 2024-03-31"
17693693,Cozy and Mystical 1BR - Palais de Congres!,Ville-Marie,Daniel,45.50988,-73.5603,Entire home/apt,55.0,31.0,53.0,10/17/23,0.67,28,75,2.0,
17823856,APPARt 1BR+BALCONY & PARKING ❤Plateau CITQ-221665,Le Plateau-Mont-Royal,Miozoti,45.53051,-73.56773,Entire home/apt,180.0,1.0,65.0,11/23/23,0.82,4,215,21.0,"221665, expires: 2025-02-28"
17856600,"Cozy, sunny apt close to DT Mtl, & canal bike path",Le Sud-Ouest,Jacy,45.47809,-73.56818,Entire home/apt,129.0,31.0,30.0,7/3/22,0.36,1,88,0.0,
17880122,{Wonderful}•Luxurious•Condo in Downtown Montreal,Ville-Marie,Yankhob,45.49595,-73.57031,Entire home/apt,99.0,31.0,78.0,1/30/24,0.93,7,170,3.0,
