id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6438283,"MTLVR #13 | Central Urban Oasis, Sleeps 12, BBQ",24290215,Yann,,Le Plateau-Mont-Royal,45.52565,-73.58423,Entire home/apt,283,2,141,2/25/24,1.32,19,217,16,"286731, expires: 2024-08-31"
6438382,"MTLVR #12 | Modern 4 BR/2BA, Plateau, A/C, BBQ",24290215,Yann,,Le Plateau-Mont-Royal,45.52395813,-73.58378187,Entire home/apt,283,2,165,3/3/24,1.53,19,190,14,"286731, expires: 2024-08-31"
6448540,Private room with access to garden,31822751,Yuan,,Saint-Laurent,45.51397,-73.66317,Private room,25,32,26,1/6/24,0.28,7,202,4,
6451534,Cosy Studio in A Quiet Area,24084514,David,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.48857,-73.64448,Entire home/apt,60,32,34,10/30/20,0.32,3,206,0,
6460732,2 Floors in Superb Plateau Home,8071762,Nina,,Le Plateau-Mont-Royal,45.53088,-73.58535,Entire home/apt,250,21,93,9/5/23,0.89,2,205,4,"305266, expires: 2024-06-30"
6461235,Spacious Plateau Unit steps from everything,8071762,Nina,,Le Plateau-Mont-Royal,45.53088,-73.58675,Entire home/apt,111,14,21,2/23/24,0.28,2,188,9,"305266, expires: 2024-06-30"
6485711,Appartement lumineux sur le Plateau Mont-Royal,33748371,Lorraine,,Le Plateau-Mont-Royal,45.52228,-73.56999,Entire home/apt,64,32,22,2/29/24,0.21,1,173,4,
6493792,Hortensias'garden,21760037,Michelle,,Ahuntsic-Cartierville,45.54638,-73.64147,Entire home/apt,94,290,7,2/22/16,0.07,1,364,0,
6545059,Homey 3BR: Cozy & Inviting,16441080,Well,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.50824,-73.63066,Entire home/apt,130,31,22,11/18/22,0.21,8,365,0,
6558609,Lg Bdrm/Pvt Bath start date 1st wk June Min 55 nts,32068321,Bonnie,,Villeray-Saint-Michel-Parc-Extension,45.53249,-73.6376,Private room,32,55,21,2/10/24,0.2,3,106,3,
6559850,"CreAtive, Modern & Inspired Plateau: Heart of MTL!",6720816,Amy,,Le Plateau-Mont-Royal,45.51346,-73.57011,Entire home/apt,154,31,69,9/29/23,0.65,2,144,2,
6590617,Les 3 Castors  (numéro d'établissement  279915),34482763,Nathalie,,Ahuntsic-Cartierville,45.55479,-73.66718,Entire home/apt,160,5,70,3/17/24,0.67,1,192,23,"279915, expires: 2024-12-31"
6611969,A little piece of paradise...,34599357,Eric,,Le Plateau-Mont-Royal,45.52198,-73.58012,Entire home/apt,491,31,36,9/30/23,0.34,1,186,14,"308907, expires: 2024-03-01"
6624051,Studio cosy et bien équipé à Villeray - Montréal,1229488,Marilou,,Ahuntsic-Cartierville,45.54782,-73.6368,Entire home/apt,60,60,115,11/1/23,1.07,2,309,2,
6634469,Welcome ! Bienvenue !,34726528,Varvara,,Le Plateau-Mont-Royal,45.52064,-73.57018,Entire home/apt,213,2,165,3/16/24,1.54,2,80,4,"285865, expires: 2024-07-31"
6644522,Perfect Stay,34726528,Varvara,,Le Plateau-Mont-Royal,45.52077,-73.57021,Entire home/apt,213,2,184,1/1/24,1.72,2,148,26,"285876, expires: 2024-07-31"
6646020,Amazing 2-bdr apt just for you !,23049089,Claudel,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46874,-73.61305,Entire home/apt,75,179,1,9/14/15,0.01,1,274,0,
6657701,Live like a Montrealer! Pristine renovated home!,10851522,Maya,,Villeray-Saint-Michel-Parc-Extension,45.53802,-73.62843,Entire home/apt,165,32,35,7/1/22,0.33,2,53,0,
6722097,Beautiful 4 bedroom house & garden,30720639,Jacques,,Rosemont-La Petite-Patrie,45.54116,-73.6071,Entire home/apt,284,3,348,2/21/24,3.26,2,168,48,"282262, expires: 2024-05-31"
6725638,Rustic Chic in the Heart of Montreal,7319387,Christian,,Le Plateau-Mont-Royal,45.52269,-73.5771,Private room,70,2,52,3/8/24,2.21,1,76,31,"314337, expires: 2024-06-26"
6746491,beau Studio Mile-End /.2. Plateau,7250257,Stewie,,Le Plateau-Mont-Royal,45.52472,-73.59554,Entire home/apt,52,120,60,4/30/23,0.56,17,203,1,
6747261,30days + Big house for 7 (15 min. to downtown),27109383,Vil,,Rosemont-La Petite-Patrie,45.53573,-73.60439,Entire home/apt,443,2,79,1/14/24,0.74,1,185,6,"316669, expires: 2024-11-23T20:35:42Z"
6766263,"Bright, Calm Room&Private Bathroom",35422266,Jean,,Villeray-Saint-Michel-Parc-Extension,45.55035,-73.60706,Private room,100,31,25,10/15/23,0.24,1,161,1,
6805517,Quiet & clean in Plateau Mont-Royal Studio,6312297,Katherine,,Le Plateau-Mont-Royal,45.52716,-73.57465,Entire home/apt,52,32,20,3/4/24,0.19,14,276,2,
6812722,"MTLVR #07 | Fully equipped for 8, Family focused",24290215,Yann,,Le Plateau-Mont-Royal,45.52021,-73.57217,Entire home/apt,277,2,203,3/10/24,1.91,19,226,36,"286720, expires: 2024-08-31"
6863708,"Sunny, Clean, Entire Top Flr Apartment in MileEnd",35920738,Kara,,Le Plateau-Mont-Royal,45.52611,-73.60427,Private room,60,31,40,12/11/23,0.38,1,38,2,
6864866,Renovated Apartment in the Heart of Montreal P0504,13826429,Maya,,Mont-Royal,45.51715,-73.65627,Entire home/apt,70,32,5,7/1/23,0.05,16,365,1,
6866740,Spacious Apartment in the Heart of Montreal P0108,13826429,Maya,,Mont-Royal,45.51508,-73.65732,Entire home/apt,67,32,2,1/28/24,0.03,16,365,1,
6877196,5☆ Comfy Pad in Plateau ❤️ BEST LOCATION/TOP FLOOR!,2624022,Steve,,Le Plateau-Mont-Royal,45.51497,-73.57836,Entire home/apt,119,2,149,3/14/24,1.57,7,40,24,"313088, expires: 2024-05-08"
6885700,The perfect pied-à-terre (wasabi)!,5513779,Shelagh,,Le Sud-Ouest,45.47545,-73.56443,Entire home/apt,85,31,99,12/13/23,0.98,3,204,4,
6895797,Green room in town,36133697,Marie-Luc,,Rosemont-La Petite-Patrie,45.541,-73.60103,Private room,35,31,27,12/10/23,0.26,1,173,3,
